dispatcher-1  | 2025-04-30 22:32:00,838 - dispatcher.src.message_router - DEBUG - Message routé: market.data.btcusdc -> roottrading:market:data:btcusdc
dispatcher-1  | 2025-04-30 22:32:00,838 - dispatcher - DEBUG - Message routé depuis market.data.btcusdc
dispatcher-1  | 2025-04-30 22:32:00,839 - dispatcher.src.message_router - INFO - Message transformé: market.data.ethusdc -> ETHUSDC @ 1793.9
dispatcher-1  | 2025-04-30 22:32:00,839 - dispatcher.src.message_router - DEBUG - Message routé: market.data.ethusdc -> roottrading:market:data:ethusdc
dispatcher-1  | 2025-04-30 22:32:00,839 - dispatcher - DEBUG - Message routé depuis market.data.ethusdc
dispatcher-1  | 2025-04-30 22:32:00,841 - dispatcher.src.message_router - DEBUG - Message routé: market.data.btcusdc -> roottrading:market:data:btcusdc
dispatcher-1  | 2025-04-30 22:32:00,841 - dispatcher - DEBUG - Message routé depuis market.data.btcusdc
dispatcher-1  | 2025-04-30 22:32:00,843 - dispatcher.src.message_router - DEBUG - Message routé: market.data.ethusdc -> roottrading:market:data:ethusdc
dispatcher-1  | 2025-04-30 22:32:00,843 - dispatcher - DEBUG - Message routé depuis market.data.ethusdc
dispatcher-1  | 2025-04-30 22:32:02,844 - dispatcher.src.message_router - DEBUG - Message routé: market.data.btcusdc -> roottrading:market:data:btcusdc
dispatcher-1  | 2025-04-30 22:32:02,844 - dispatcher - DEBUG - Message routé depuis market.data.btcusdc
dispatcher-1  | 2025-04-30 22:32:02,845 - dispatcher.src.message_router - DEBUG - Message routé: market.data.ethusdc -> roottrading:market:data:ethusdc
dispatcher-1  | 2025-04-30 22:32:02,846 - dispatcher - DEBUG - Message routé depuis market.data.ethusdc
dispatcher-1  | 2025-04-30 22:32:04,847 - dispatcher.src.message_router - DEBUG - Message routé: market.data.ethusdc -> roottrading:market:data:ethusdc
dispatcher-1  | 2025-04-30 22:32:04,847 - dispatcher - DEBUG - Message routé depuis market.data.ethusdc
